artist_id,artist_name,bio,portrait_url,nationality,birth_year,death_year,movement,notable_works,wiki_url
vincent-van-gogh,Vincent van Gogh,"Vincent Willem van Gogh was a Dutch Post-Impressionist painter whose expressive brushwork and vivid colors made him a major figure in Western art. His work, including masterpieces like The Starry Night and Sunflowers, reflects his intense emotions, personal struggles, and profound creativity. Though he had a limited following in his lifetime, his style significantly influenced many artists who came after him. ",https://www.vincentvangogh.org/assets/img/van-gogh.jpg,Netherlands,1853,1890,Post-Impressionism,The Bedroom|Self-portraits|Sunflowers|The Starry Night,https://en.wikipedia.org/wiki/Vincent_van_Gogh
claude-monet,Claude Monet,"Oscar-Claude Monet was a French painter and a leader of the Impressionist movement. His work aimed to capture reality, light, and color as he perceived them, and is considered a precursor to modernism. Monet's series, including Water Lilies, Haystacks, and Rouen Cathedral, demonstrated his ability to capture changing atmospheres. He built a Japanese-style garden at Giverny, France, and painted the pond, water lilies, and light at different times of day. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2X5INZox-EqihkMqIl6bPsh8-UJPM2Dvk7gHtDbvCV05FPTp3-NumNAXuYiNOPVoCoLtBQpn9ogQuNyUSGso0QsLC-7H7QXGkfMoFfJM&s=10,France,1840,1926,Impressionism,Water Lilies|Rouen Cathedral|Haystacks|Woman with a Parasol,https://en.wikipedia.org/wiki/Claude_Monet
pablo-picasso,Pablo Picasso,"Pablo Ruiz Picasso was a Spanish painter, sculptor, printmaker, ceramicist, and theater designer who co-founded Cubism and is considered one of the 20th century's greatest artists. His work, which spanned naturalism, Cubism, and Surrealism, influenced the trajectory of modern and contemporary art. Picasso's early years displayed exceptional artistic talent, with realistic portraits and landscapes. ",https://www.pablopicasso.org/assets/img/picasso.jpg,Spain,1881,1973,Cubism,Les Demoiselles d'Avignon|Guernica|The Dream,https://en.wikipedia.org/wiki/Pablo_Picasso
rembrandt,Rembrandt,"Rembrandt Harmenszoon van Rijn, known simply as Rembrandt, was a 17th century Dutch painter, printmaker, and draftsman. He's considered one of Western art's greatest visual artists, renowned for his portraits, biblical scenes, and masterful use of light and shadow. His early work was theatrical and colorful, but his later paintings were more solemn and minimal. ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/250px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,Netherlands,1606,1669,Baroque,The Night Watch|Self-portraits,https://en.wikipedia.org/wiki/Rembrandt
paul-cézanne,Paul Cézanne,"Paul Cézanne was a French Post-Impressionist painter who bridged the gap between 19th century Impressionism and 20th century Cubism. His unique style, characterized by small brushstrokes and planes of color, is credited with launching Modernism. Cézanne associated with the Impressionists, but aimed to make Impressionism “solid and durable”. He used bold outlines and hatched brushstrokes of modulated color to depict light and form. ",https://upload.wikimedia.org/wikipedia/commons/c/c4/Paul-Cezanne.jpg,France,1839,1906,Post-Impressionism,Mont Sainte-Victoire|Still Life with Apples|The Large Bathers,https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne
joseph-mallord-william-turner,Joseph Mallord William Turner,"Joseph Mallord William Turner RA, known in his time as William Turner, was an English Romantic painter, printmaker and watercolourist. He is known for his expressive colouring, imaginative landscapes and turbulent, often violent marine paintings.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Joseph_Mallord_William_Turner_auto-retrato.jpg/500px-Joseph_Mallord_William_Turner_auto-retrato.jpg,British,1775,1851,Romanticism,"The Fighting Temeraire|Rain, Steam and Speed",https://en.wikipedia.org/wiki/J._M._W._Turner
edvard-munch,Edvard Munch,"Edvard Munch (1863-present) was a Norwegian painter and printmaker who played a pivotal role in the development of Expressionism. His work is known for its emotional intensity, symbolism, and exploration of human emotions like anxiety, isolation, and inner anguish. Munch's most famous work is The Scream (1893), an iconic image of modern anxiety that depicts a corpse-like figure with wide eyes, an open mouth, and hands covering their ears. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7kDG32qIR-wXhquWyu_GpNXUb_TnDE22ZY16nY3oS4wQAYo198Ud0j_rFgMtkUQwh05_81gx6NNAFtFcw4j2HV5OnwFN5_Erv9lQ8OLk&s=10,Norway,1863,1944,Expressionism|Symbolism,The Scream,https://en.wikipedia.org/wiki/Edvard_Munch
françois-boucher,François Boucher,"François Boucher was a French painter, draughtsman and etcher, who worked in the Rococo style. Boucher is known for his idyllic and voluptuous paintings on classical themes, decorative allegories, and pastoral scenes. He was perhaps the most celebrated painter and decorative artist of the 18th century.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Boucher_par_Gustav_Lundberg_1741.jpg/500px-Boucher_par_Gustav_Lundberg_1741.jpg,France,1703,1770,Rococo,The Triumph of Venus|Diana Leaving the Bath|Madame de Pompadour,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Boucher
edgar-degas,Edgar Degas,"Edgar Degas was a French painter, sculptor, and printmaker who is considered a founder of Impressionism. Though he preferred to be called a ""Realist"" or ""Independent"", he exhibited with the Impressionists in Paris. Degas is known for his depictions of Parisian life, particularly dancers, entertainers, and women. His work is characterized by unusual perspectives, asymmetrical framing, and abstraction from Eastern imagery. ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Self-portrait_by_Edgar_Degas.jpg/500px-Self-portrait_by_Edgar_Degas.jpg,France,1834,1917,Impressionism,The Ballet Class,https://en.wikipedia.org/wiki/Edgar_Degas
jean-françois-millet,Jean-François Millet,"Jean-François Millet was a French artist and one of the founders of the Barbizon school in rural France. Millet is noted for his paintings of peasant farmers and can be categorized as part of the Realism art movement. Toward the end of his career, he became increasingly interested in painting pure landscapes.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg/500px-Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg,France,1814,1875,Realism|Barbizon School,The Gleaners|The Angelus|The Sower,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Millet
